No,model_number_sku,housing_style,wall_mount,ceiling_mount_single_unit,pole_mount,corner_mount,in-ceiling_mount,parapet_mount,junction_box,dual_junction_box,Adapter and others
1,AVC-NAE41F28,Turret,"AVM-CWM-EV-S2, AVM-HWM-E-S2",AVM-HCM-E-S1,AVM-POM-A1,AVM-CRM-A1,,,"AVM-JB-BE-S2, AVM-JB-BE-AD2",AVM-JB-DUAL-US1,
2,AVC-NAE81F28,Turret,"AVM-CWM-EV-S2, AVM-HWM-E-S2",AVM-HCM-E-S2,AVM-POM-A2,AVM-CRM-A1,,,"AVM-JB-BE-S2, AVM-JB-BE-AD2",AVM-JB-DUAL-US1,
3,AVC-NAB41F28,Bullet,,,AVM-P-POM-A2,AVM-CRM-A1,,,AVM-JB-B-AD1,,
4,AVC-NAB81F28,Bullet,,,AVM-P-POM-A2,AVM-CRM-A1,,,AVM-JB-B-AD1,,
5,AVC-NBE41F28,Turret,"AVM-CWM-EV-S2, AVM-HWM-E-S2",AVM-HCM-E-S2,AVM-P-POM-A2,AVM-CRM-A1,,,"AVM-JB-BE-S2, AVM-JB-BE-AD2",,
6,AVC-NBE41F28-B,Turret,AVM-CWM-EV-S1-B,,AVM-P-POM-A2,AVM-CRM-A1,,,AVM-JB-BE-S1-B,,
7,AVC-NBE81F28,Turret,"AVM-CWM-EV-S2, AVM-HWM-E-S2",AVM-HCM-E-S2,AVM-P-POM-A2,AVM-CRM-A1,,,"AVM-JB-BE-S2, AVM-JB-BE-AD2",,
8,AVC-NBE81F28-B,Turret,AVM-CWM-EV-S1-B,,AVM-P-POM-A2,AVM-CRM-A1,,,AVM-JB-BE-S1-B,,
9,AVC-NBB41F28,Bullet,,AVM-HCM-E-S2,AVM-P-POM-A2,AVM-CRM-A1,,,AVM-JB-BE-S2,,
10,AVC-NBB81F28,Bullet,,,AVM-P-POM-A2,AVM-CRM-A1,,,AVM-JB-B-AD1,,
11,AVC-NCE51F28,Turret,"AVM-CWM-EV-S2, AVM-HWM-E-S2",AVM-HCM-E-S1,AVM-P-POM-A2,AVM-CRM-A1,,,"AVM-JB-BE-S2, AVM-JB-BE-AD2",AVM-JB-DUAL-US1,
12,AVC-NCE51F28-B,Turret,AVM-CWM-EV-S1-B,,AVM-P-POM-A2,AVM-CRM-A1,,,AVM-JB-BE-S1-B,,
13,AVC-NCE81F28,Turret,"AVM-CWM-EV-S2, AVM-HWM-E-S2",AVM-HCM-E-S1,AVM-P-POM-A2,AVM-CRM-A1,,,"AVM-JB-BE-S2, AVM-JB-BE-AD2",AVM-JB-DUAL-US1,
14,AVC-NCE81F28-B,Turret,AVM-CWM-EV-S1-B,,AVM-P-POM-A2,AVM-CRM-A1,,,AVM-JB-BE-S1-B,,
15,AVC-NCE51M,Turret,"AVM-CWM-EDV-L1, AVM-HWM-E-L1",AVM-HCM-E-L1,AVM-P-POM-A2,AVM-CRM-A1,,,AVM-JB-BE-L1,AVM-JB-DUAL-UL1,
16,AVC-NCE81M,Turret,"AVM-CWM-EDV-L1, AVM-HWM-E-L1",AVM-HCM-E-L1,AVM-P-POM-A2,AVM-CRM-A1,,,AVM-JB-BE-L1,AVM-JB-DUAL-UL1,
17,AVC-NCB51F28,Bullet,,AVM-HCM-E-S1,AVM-P-POM-A2,AVM-CRM-A1,,,AVM-JB-BE-S2,AVM-JB-DUAL-US1,
18,AVC-NCB81F28,Bullet,,AVM-HCM-E-S1,AVM-P-POM-A2,AVM-CRM-A1,,,AVM-JB-BE-S2,AVM-JB-DUAL-US1,
19,AVC-NCB51M,Bullet,,AVM-HCM-E-L1,AVM-P-POM-A2,AVM-CRM-A1,,,"AVM-JB-BE-S2, AVM-JB-BE-L1",AVM-JB-DUAL-UL1,
20,AVC-NCB81M,Bullet,,AVM-HCM-E-L1,AVM-P-POM-A2,AVM-CRM-A1,,,"AVM-JB-BE-S2, AVM-JB-BE-L1",AVM-JB-DUAL-UL1,
21,AVC-NCV51F28,Vandal Dome,"AVM-CWM-VG-S3, AVM-HWM-VG-S3",,,,AVM-RM-V-S1,,AVM-JB-VG-S3,,
22,AVC-NCV81F28,Vandal Dome,"AVM-CWM-VG-S3, AVM-HWM-VG-S3",,,,AVM-RM-V-S1,,AVM-JB-VG-S3,,
23,AVC-NCV51M,Vandal Dome,"AVM-CWM-VG-L3, AVM-HWM-VG-L3",,,,AVM-RM-V-L1,,AVM-JB-VG-L3,,AVM-WS-V-L1
24,AVC-NCV81M,Vandal Dome,"AVM-CWM-VG-L3, AVM-HWM-VG-L3",,,,AVM-RM-V-L1,,AVM-JB-VG-L3,,AVM-WS-V-L1
25,AVC-NDE51F28,Turret,"AVM-CWM-EV-S2, AVM-HWM-E-S2",AVM-HCM-E-S2,AVM-P-POM-A2,AVM-CRM-A1,,,"AVM-JB-BE-AD2, AVM-JB-BE-S2",AVM-JB-DUAL-US1,
26,AVC-NDE81F28,Turret,"AVM-CWM-EV-S2, AVM-HWM-E-S2",AVM-HCM-E-S2,AVM-P-POM-A2,AVM-CRM-A1,,,"AVM-JB-BE-AD2, AVM-JB-BE-S2",AVM-JB-DUAL-US1,
27,AVC-NDE51M,Turret,"AVM-CWM-EDV-L1, AVM-HWM-E-L1",AVM-HCM-E-L1,AVM-P-POM-A2,AVM-CRM-A1,,,AVM-JB-BE-L1,AVM-JB-DUAL-UL1,
28,AVC-NDE81M,Turret,"AVM-CWM-EDV-L1, AVM-HWM-E-L1",AVM-HCM-E-L1,AVM-P-POM-A2,AVM-CRM-A1,,,AVM-JB-BE-L1,AVM-JB-DUAL-UL1,
29,AVC-NDB51F28,Bullet,,AVM-HCM-E-S1,AVM-P-POM-A2,AVM-CRM-A1,,,AVM-JB-BE-S2,AVM-JB-DUAL-US1,
30,AVC-NDB81F28,Bullet,,AVM-HCM-E-S1,AVM-P-POM-A2,AVM-CRM-A1,,,AVM-JB-BE-S2,AVM-JB-DUAL-US1,
31,AVC-NDB51M,Bullet,,AVM-HCM-E-L1,AVM-P-POM-A2,AVM-CRM-A1,,,"AVM-JB-BE-L1, AVM-JB-BE-S2",AVM-JB-DUAL-UL1,
32,AVC-NDB81M,Bullet,,AVM-HCM-E-L1,AVM-P-POM-A2,AVM-CRM-A1,,,"AVM-JB-BE-L1, AVM-JB-BE-S2",AVM-JB-DUAL-UL1,
33,AVC-NDV51F28,Vandal Dome,"AVM-CWM-VG-S3, AVM-HWM-VG-S3",,,,AVM-RM-V-S1,,AVM-JB-VG-S3,,
34,AVC-NDV81F28,Vandal Dome,"AVM-CWM-VG-S3, AVM-HWM-VG-S3",,  ,,AVM-RM-V-S1,,AVM-JB-VG-S3,,
35,AVC-NDV51M,Vandal Dome,"AVM-CWM-VG-L3, AVM-HWM-VG-L3",,,,AVM-RM-V-L1,,AVM-JB-VG-L3,,AVM-WS-V-L1
36,AVC-NDV81M,Vandal Dome,"AVM-CWM-VG-L3, AVM-HWM-VG-L3",,,,AVM-RM-V-L1,,AVM-JB-VG-L3,,AVM-WS-V-L1
37,AVC-NPE51F28,Turret,"AVM-CWM-EV-S2, AVM-HWM-E-S2",AVM-HCM-E-S1,AVM-P-POM-A2,AVM-CRM-A1,,,"AVM-JB-BE-AD2, AVM-JB-BE-S2",AVM-JB-DUAL-US1,
38,AVC-NPE51F28-B,Turret,AVM-CWM-EV-S1-B,,AVM-P-POM-A2,AVM-CRM-A1,,,AVM-JB-BE-S1-B,,
39,AVC-NPE51F36,Turret,"AVM-CWM-EV-S2, AVM-HWM-E-S2",AVM-HCM-E-S1,AVM-P-POM-A2,AVM-CRM-A1,,,"AVM-JB-BE-AD2, AVM-JB-BE-S2",AVM-JB-DUAL-US1,
